feature,feature_label,spearman,top10_hits,average_precision,n_topics,cutoff_year,eval_end_year,scope,scope_label
spectral_midband_momentum,Midband spectral momentum,0.7304109589041095,7,0.6868360805860806,74,2017,2020,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.6774824139207699,6,0.6564285714285714,74,2017,2020,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.5088041466123656,5,0.6343939393939394,74,2017,2020,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.18723435764531648,2,0.2710861182137777,74,2017,2020,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.35815148576684014,1,0.09556442179928393,74,2017,2020,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.805257312106627,7,0.825622968580715,74,2018,2021,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7899740836727137,6,0.706781045751634,74,2018,2021,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.739829692706405,6,0.7307333842627961,74,2018,2021,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.510699740836727,6,0.7031485671191553,74,2018,2021,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.4078341355053683,7,0.7100088417329797,74,2018,2021,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.2711144020733061,3,0.38990952106317406,74,2018,2021,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.17279782005330738,1,0.12643476758937072,74,2018,2021,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8969270640503516,7,0.844493006993007,74,2019,2022,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.8166901147723064,5,0.6275361963980889,74,2019,2022,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.768530174009626,6,0.6172985347985348,74,2019,2022,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.6233987412069603,6,0.5110225885225885,74,2019,2022,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.4784450203628285,5,0.5018883404177522,74,2019,2022,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.08596815994076266,1,0.15458937902372566,74,2019,2022,primary,Primary topic
cutoff_log_count,Topic size at cutoff,0.03579415031469825,0,0.11000835974582057,74,2019,2022,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8378947368421051,9,0.9426315789473685,75,2020,2023,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.751578947368421,5,0.5357127667653983,75,2020,2023,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7194310099573257,5,0.5359249084249085,75,2020,2023,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.5280512091038406,4,0.4448736201019482,75,2020,2023,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.4189189189189188,4,0.3978676685633207,75,2020,2023,primary,Primary topic
cutoff_log_count,Topic size at cutoff,0.15926144567576134,0,0.14183166860233332,75,2020,2023,primary,Primary topic
